综合频道,#genre#
高尔夫.网球,http://111.225.95.144:8800/hls/69/index.m3u8
国际,#genre#
CGTN,http://125.83.127.67:5555/rtp/235.254.198.127:1784
CGTN,http://112.66.142.147:8888/rtp/239.253.64.17:5140
CGTN记录,http://112.66.142.147:8888/rtp/239.253.64.58:5140
电影频道,#genre#
CHC动作电影,http://60.220.167.177:8085/rtp/226.0.2.94:8012
CHC家庭影院,http://60.220.167.177:8085/rtp/226.0.2.240:9820
CHC电影,http://60.220.167.177:8085/rtp/226.0.2.93:8004
CQTV影视,http://125.83.127.67:5555/rtp/235.254.196.209:1108
CQTV影视,http://125.83.127.67:5555/rtp/235.254.198.180:7980
IPTV经典电影,http://112.66.142.147:8888/rtp/239.253.64.227:5140
中国电影,http://110.72.72.90:808/hls/61/index.m3u8
中国电影,http://110.72.79.123:808/hls/61/index.m3u8
中国电影2,http://110.72.72.90:808/hls/65/index.m3u8
中国电影2,http://110.72.79.123:808/hls/65/index.m3u8
影视,http://112.66.142.147:8888/rtp/239.253.64.49:5140
经典电影,http://110.72.72.90:808/hls/220/index.m3u8
经典电影,http://125.83.127.67:5555/rtp/235.254.198.114:1732
经典电影,http://110.72.79.123:808/hls/220/index.m3u8
动画频道,#genre#
CQTV少儿,http://125.83.127.67:5555/rtp/235.254.196.214:1128
优漫卡通,http://110.72.72.90:808/hls/31/index.m3u8
优漫卡通,http://110.72.79.123:808/hls/31/index.m3u8
动漫秀场,http://112.66.142.147:8888/rtp/239.253.64.102:5140
动漫秀场,http://60.220.167.177:8085/rtp/226.0.2.183:9376
动画,http://125.83.127.67:5555/rtp/235.254.198.87:1624
动画,http://112.66.142.147:8888/rtp/239.253.64.163:5140
卡酷动漫,http://110.72.72.90:808/hls/138/index.m3u8
卡酷动漫,http://110.72.79.123:808/hls/138/index.m3u8
卡酷动画,http://112.66.142.147:8888/rtp/239.253.64.230:5140
卡酷动画,http://125.83.127.67:5555/rtp/235.254.198.49:1472
卡酷卡通,http://60.220.167.177:8085/rtp/226.0.2.57:8368
嘉嘉卡通,http://110.72.72.90:808/hls/12/index.m3u8
嘉嘉卡通,http://110.72.79.123:808/hls/12/index.m3u8
少儿动画,http://112.66.142.147:8888/rtp/239.253.64.232:5140
少儿动画,http://125.83.127.67:5555/rtp/235.254.198.116:1740
新动漫,http://60.220.167.177:8085/rtp/226.0.2.73:8496
炫动卡通,http://110.72.79.123:808/hls/28/index.m3u8
炫动卡通,http://110.72.72.90:808/hls/28/index.m3u8
